年份,房地产投资增速(%),商品房销售面积增速(%),水泥产量增速(%),家电零售增速(%),家具零售增速(%),GDP增速(%)
2019,9.9,-0.1,6.1,5.6,5.1,6.0
2020,7.0,2.6,1.6,-1.2,-4.0,2.2
2021,4.4,1.9,-0.4,10.2,14.5,8.4
2022,-10.0,-24.3,-10.8,-3.3,-7.5,3.0
2023,-9.6,-8.5,-0.7,0.5,2.8,5.2
2024,-10.6,-12.9,-9.5,-1.2,-3.7,5.0
